company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Betterfly,Santiago,Healthcare,NULL,0.3,1/18/2023,"Series C",Chile,204
Betterment,"New York City",Finance,28,NULL,2/15/2023,"Series F","United States",435
Betterment,"New York City",Finance,28,NULL,2/15/2023,"Series F","United States",435
BharatAgri,Mumbai,Food,40,0.43,1/15/2023,"Series A",India,21
BharatAgri,Mumbai,Food,40,0.43,1/15/2023,"Series A",India,21
BigCommerce,Austin,Retail,180,0.13,12/15/2022,Post-IPO,"United States",224
BigCommerce,Austin,Retail,180,0.13,12/15/2022,Post-IPO,"United States",224
Bilibili,Shanghai,Media,NULL,0.3,12/27/2022,Post-IPO,China,3700
Bilibili,Shanghai,Media,NULL,0.3,12/27/2022,Post-IPO,China,3700
BitSight,"Tel Aviv",Security,40,NULL,2/26/2023,Unknown,Israel,401
BitSight,"Tel Aviv",Security,40,NULL,2/26/2023,Unknown,Israel,401
BitTorrent,"SF Bay Area",Infrastructure,92,NULL,1/20/2023,Acquired,"United States",NULL
BitTorrent,"SF Bay Area",Infrastructure,92,NULL,1/20/2023,Acquired,"United States",NULL
Bittrex,Seattle,Crypto,80,NULL,2/2/2023,Unknown,"United States",NULL
Bittrex,Seattle,Crypto,80,NULL,2/2/2023,Unknown,"United States",NULL
"Black Shark",Shenzen,Hardware,900,NULL,1/13/2023,Unknown,China,NULL
"Black Shark",Shenzen,Hardware,900,NULL,1/13/2023,Unknown,China,NULL
BlackLine,"Los Angeles",Finance,95,0.05,12/8/2022,"Private Equity","United States",220
BlackLine,"Los Angeles",Finance,95,0.05,12/8/2022,"Private Equity","United States",220
Blend,"SF Bay Area",Finance,340,0.28,1/10/2023,Post-IPO,"United States",665
Blend,"SF Bay Area",Finance,340,0.28,1/10/2023,Post-IPO,"United States",665
Blockchain.com,London,Crypto,110,0.28,1/12/2023,"Series D","United Kingdom",490
Blockchain.com,London,Crypto,110,0.28,1/12/2023,"Series D","United Kingdom",490
"Blue Apron","New York City",Food,NULL,0.1,12/8/2022,Post-IPO,"United States",352
"Blue Apron","New York City",Food,NULL,0.1,12/8/2022,Post-IPO,"United States",352
"BM Technologies",Philadelphia,Finance,NULL,0.25,1/30/2023,Post-IPO,"United States",NULL
"BM Technologies",Philadelphia,Finance,NULL,0.25,1/30/2023,Post-IPO,"United States",NULL
Bolt,Lagos,Transportation,17,NULL,2/21/2023,"Series F",Nigeria,NULL
Bolt,Lagos,Transportation,17,NULL,2/21/2023,"Series F",Nigeria,NULL
Bolt,"SF Bay Area",Finance,50,0.1,1/24/2023,"Series E","United States",1300
Bolt,"SF Bay Area",Finance,50,0.1,1/24/2023,"Series E","United States",1300
"Bonterra ",Austin,Other,140,0.1,1/13/2023,Unknown,"United States",NULL
"Bonterra ",Austin,Other,140,0.1,1/13/2023,Unknown,"United States",NULL
Booktopia,Sydney,Retail,30,NULL,1/23/2023,"Series A",Australia,23
Booktopia,Sydney,Retail,30,NULL,1/23/2023,"Series A",Australia,23
Bounce,Bengaluru,Transportation,40,0.05,1/6/2023,"Series D",India,214
Bounce,Bengaluru,Transportation,40,0.05,1/6/2023,"Series D",India,214
Britishvolt,London,Transportation,206,1,1/17/2023,Unknown,"United Kingdom",2400
Britishvolt,London,Transportation,206,1,1/17/2023,Unknown,"United Kingdom",2400
Briza,Toronto,Finance,26,0.4,12/20/2022,"Series A",Canada,10
Briza,Toronto,Finance,26,0.4,12/20/2022,"Series A",Canada,10
Brodmann17,"Tel Aviv",Other,NULL,1,12/9/2022,"Series A",Israel,25
Brodmann17,"Tel Aviv",Other,NULL,1,12/9/2022,"Series A",Israel,25
Buser,"Sao Paulo",Transportation,160,0.3,12/8/2022,"Series C",Brazil,138
Buser,"Sao Paulo",Transportation,160,0.3,12/8/2022,"Series C",Brazil,138
"Bustle Digital Group","New York City",Media,NULL,0.08,2/1/2023,"Series E","United States",80
"Bustle Digital Group","New York City",Media,NULL,0.08,2/1/2023,"Series E","United States",80
"Butterfly Network",Boston,Healthcare,NULL,0.25,1/4/2023,Post-IPO,"United States",530
"Butterfly Network",Boston,Healthcare,NULL,0.25,1/4/2023,Post-IPO,"United States",530
BuzzFeed,"New York City",Media,180,0.12,12/6/2022,Post-IPO,"United States",696
BuzzFeed,"New York City",Media,180,0.12,12/6/2022,Post-IPO,"United States",696
Byju's,Bengaluru,Education,1500,NULL,2/2/2023,"Private Equity",India,5500
Byju's,Bengaluru,Education,1500,NULL,2/2/2023,"Private Equity",India,5500
ByteDance,Shanghai,Consumer,NULL,0.1,1/3/2023,Unknown,China,9400
ByteDance,Shanghai,Consumer,NULL,0.1,1/3/2023,Unknown,China,9400
C2FO,"Kansas City",Finance,20,0.02,12/9/2022,"Series H","United States",537
C2FO,"Kansas City",Finance,20,0.02,12/9/2022,"Series H","United States",537
"Camp K12",Gurugram,Education,NULL,0.7,1/23/2023,"Series A",India,16
"Camp K12",Gurugram,Education,NULL,0.7,1/23/2023,"Series A",India,16
"Capital One","Washington D.C.",Finance,1100,NULL,1/19/2023,Post-IPO,"United States",NULL
"Capital One","Washington D.C.",Finance,1100,NULL,1/19/2023,Post-IPO,"United States",NULL
"Captain Fresh ",Bengaluru,Food,120,NULL,1/15/2023,"Series C",India,126
"Captain Fresh ",Bengaluru,Food,120,NULL,1/15/2023,"Series C",India,126
"Carbon Health","SF Bay Area",Healthcare,200,NULL,1/6/2023,"Series D","United States",522
"Carbon Health","SF Bay Area",Healthcare,200,NULL,1/6/2023,"Series D","United States",522
"Career Karma","SF Bay Area",Education,22,NULL,1/12/2023,"Series B","United States",51
"Career Karma","SF Bay Area",Education,22,NULL,1/12/2023,"Series B","United States",51
Carta,"SF Bay Area",HR,NULL,0.1,1/11/2023,"Series G","United States",1100
Carta,"SF Bay Area",HR,NULL,0.1,1/11/2023,"Series G","United States",1100
Casavo,Milan,"Real Estate",NULL,0.3,2/13/2023,Unknown,Italy,708
Casavo,Milan,"Real Estate",NULL,0.3,2/13/2023,Unknown,Italy,708
"Cashfree Payments",Bengaluru,Finance,100,NULL,1/12/2023,"Series B",India,41
"Cashfree Payments",Bengaluru,Finance,100,NULL,1/12/2023,"Series B",India,41
Catch.com.au,Melbourne,Retail,100,NULL,2/6/2023,Acquired,Australia,80
Catch.com.au,Melbourne,Retail,100,NULL,2/6/2023,Acquired,Australia,80
Cerebral,"SF Bay Area",Healthcare,285,0.15,2/27/2023,"Series C","United States",462
Cerebral,"SF Bay Area",Healthcare,285,0.15,2/27/2023,"Series C","United States",462
Chainalysis,"New York City",Crypto,44,0.05,2/1/2023,"Series F","United States",536
Chainalysis,"New York City",Crypto,44,0.05,2/1/2023,"Series F","United States",536
"Chipper Cash","SF Bay Area",Finance,100,0.33,2/17/2023,"Series C","United States",302
"Chipper Cash","SF Bay Area",Finance,100,0.33,2/17/2023,"Series C","United States",302
Chope,Singapore,Food,65,0.24,12/20/2022,"Series E",Singapore,50
Chope,Singapore,Food,65,0.24,12/20/2022,"Series E",Singapore,50
ChowNow,"Los Angeles",Food,40,0.1,12/14/2022,"Series C","United States",64
ChowNow,"Los Angeles",Food,40,0.1,12/14/2022,"Series C","United States",64
Chrono24,Karlsruhe,Retail,65,0.13,1/30/2023,"Series C",Germany,205
Chrono24,Karlsruhe,Retail,65,0.13,1/30/2023,"Series C",Germany,205
Chrono24,Karlsruhe,Retail,80,NULL,12/8/2022,"Series C",Germany,205
Chrono24,Karlsruhe,Retail,80,NULL,12/8/2022,"Series C",Germany,205
CircleCI,"SF Bay Area",Product,NULL,0.17,12/7/2022,"Series F","United States",315
CircleCI,"SF Bay Area",Product,NULL,0.17,12/7/2022,"Series F","United States",315
Citizen,"New York City",Consumer,33,NULL,1/11/2023,"Series C","United States",133
Citizen,"New York City",Consumer,33,NULL,1/11/2023,"Series C","United States",133
"Citrine Informatics","SF Bay Area",Data,22,0.27,1/20/2023,"Series C","United States",64
"Citrine Informatics","SF Bay Area",Data,22,0.27,1/20/2023,"Series C","United States",64
Citrix,Miami,Infrastructure,NULL,0.15,1/10/2023,Acquired,"United States",20
Citrix,Miami,Infrastructure,NULL,0.15,1/10/2023,Acquired,"United States",20
Clari,"SF Bay Area",Sales,20,NULL,2/6/2023,"Series F","United States",496
Clari,"SF Bay Area",Sales,20,NULL,2/6/2023,"Series F","United States",496
"Clear Capital",Reno,"Real Estate",250,0.25,1/25/2023,Unknown,"United States",NULL
"Clear Capital",Reno,"Real Estate",250,0.25,1/25/2023,Unknown,"United States",NULL
ClearCo,Toronto,Finance,50,0.3,1/16/2023,"Series C",Canada,698
ClearCo,Toronto,Finance,50,0.3,1/16/2023,"Series C",Canada,698
Clue,Berlin,Healthcare,31,0.31,1/18/2023,Unknown,Germany,47
Clue,Berlin,Healthcare,31,0.31,1/18/2023,Unknown,Germany,47
Clutch,Toronto,Transportation,150,NULL,1/17/2023,Unknown,Canada,253
Clutch,Toronto,Transportation,150,NULL,1/17/2023,Unknown,Canada,253
CNET,"SF Bay Area",Media,12,0.1,3/2/2023,Acquired,"United States",20
CNET,"SF Bay Area",Media,12,0.1,3/2/2023,Acquired,"United States",20
CoachHub,Berlin,HR,NULL,0.1,1/24/2023,"Series C",Germany,332
CoachHub,Berlin,HR,NULL,0.1,1/24/2023,"Series C",Germany,332
Coinbase,"SF Bay Area",Crypto,950,0.2,1/10/2023,Post-IPO,"United States",549
Coinbase,"SF Bay Area",Crypto,950,0.2,1/10/2023,Post-IPO,"United States",549
CoinDCX,Mumbai,Crypto,80,NULL,1/11/2023,"Series D",India,244
CoinDCX,Mumbai,Crypto,80,NULL,1/11/2023,"Series D",India,244
CoinTracker,"SF Bay Area",Crypto,19,NULL,1/28/2023,"Series A","United States",101
CoinTracker,"SF Bay Area",Crypto,19,NULL,1/28/2023,"Series A","United States",101
"Collective Health","SF Bay Area",Healthcare,54,NULL,2/13/2023,"Series F","United States",719
"Collective Health","SF Bay Area",Healthcare,54,NULL,2/13/2023,"Series F","United States",719
"Color Health","SF Bay Area",Healthcare,300,NULL,3/1/2023,"Series E","United States",482
"Color Health","SF Bay Area",Healthcare,300,NULL,3/1/2023,"Series E","United States",482
CommerceHub,Albany,Retail,371,0.31,2/14/2023,Acquired,"United States",NULL
CommerceHub,Albany,Retail,371,0.31,2/14/2023,Acquired,"United States",NULL
Confluent,"SF Bay Area",Data,221,0.08,1/26/2023,Post-IPO,"United States",455
Confluent,"SF Bay Area",Data,221,0.08,1/26/2023,Post-IPO,"United States",455
ConsenSys,"New York City",Crypto,100,0.11,1/10/2023,"Series D","United States",726
ConsenSys,"New York City",Crypto,100,0.11,1/10/2023,"Series D","United States",726
"Corvus Insurance",Boston,Finance,NULL,0.14,1/24/2023,"Series C","United States",160
"Corvus Insurance",Boston,Finance,NULL,0.14,1/24/2023,"Series C","United States",160
Crunchyroll,Tokyo,Media,85,NULL,2/21/2023,Unknown,Japan,26
Crunchyroll,Tokyo,Media,85,NULL,2/21/2023,Unknown,Japan,26
Crypto.com,Singapore,Crypto,NULL,0.2,1/12/2023,Unknown,"United States",NULL
Crypto.com,Singapore,Crypto,NULL,0.2,1/12/2023,Unknown,"United States",NULL
"CS Disco",Austin,Legal,62,0.09,1/19/2023,Post-IPO,"United States",233
"CS Disco",Austin,Legal,62,0.09,1/19/2023,Post-IPO,"United States",233
Cue,"San Diego",Healthcare,388,NULL,1/5/2023,Post-IPO,"United States",999
Cue,"San Diego",Healthcare,388,NULL,1/5/2023,Post-IPO,"United States",999
CyCognito,"SF Bay Area",Security,30,0.15,12/8/2022,"Series C","United States",153
CyCognito,"SF Bay Area",Security,30,0.15,12/8/2022,"Series C","United States",153
Cyren,"Washington D.C.",Security,121,NULL,2/1/2023,Post-IPO,"United States",161
Cyren,"Washington D.C.",Security,121,NULL,2/1/2023,Post-IPO,"United States",161
"Cyteir Therapeutics",Boston,Healthcare,NULL,0.7,1/20/2023,"Series C","United States",156
"Cyteir Therapeutics",Boston,Healthcare,NULL,0.7,1/20/2023,"Series C","United States",156
"Dapper Labs",Vancouver,Crypto,NULL,0.2,2/23/2023,"Series D","United States",607
"Dapper Labs",Vancouver,Crypto,NULL,0.2,2/23/2023,"Series D","United States",607
Daraz,Singapore,Retail,NULL,0.11,2/6/2023,Unknown,Singapore,NULL
Daraz,Singapore,Retail,NULL,0.11,2/6/2023,Unknown,Singapore,NULL
DealShare,Bengaluru,Retail,100,0.06,1/27/2023,"Series E",India,390
DealShare,Bengaluru,Retail,100,0.06,1/27/2023,"Series E",India,390
"Definitive Healthcare",Boston,Healthcare,55,0.06,1/12/2023,Post-IPO,"United States",NULL
"Definitive Healthcare",Boston,Healthcare,55,0.06,1/12/2023,Post-IPO,"United States",NULL
DeHaat,Patna,Food,NULL,0.05,1/15/2023,"Series E",India,254
DeHaat,Patna,Food,NULL,0.05,1/15/2023,"Series E",India,254
Deliveroo,London,Food,350,0.09,2/9/2023,Post-IPO,"United Kingdom",1700
Deliveroo,London,Food,350,0.09,2/9/2023,Post-IPO,"United Kingdom",1700
"Delivery Hero",Berlin,Food,156,0.04,1/30/2023,Post-IPO,Germany,9900
"Delivery Hero",Berlin,Food,156,0.04,1/30/2023,Post-IPO,Germany,9900
Dell,Austin,Hardware,6650,0.05,2/6/2023,Post-IPO,"United States",NULL
Dell,Austin,Hardware,6650,0.05,2/6/2023,Post-IPO,"United States",NULL
"Digital Surge",Brisbane,Crypto,NULL,1,12/9/2022,Unknown,Australia,NULL
"Digital Surge",Brisbane,Crypto,NULL,1,12/9/2022,Unknown,Australia,NULL
DigitalOcean,"New York City",Infrastructure,200,0.11,2/15/2023,Post-IPO,"United States",491
DigitalOcean,"New York City",Infrastructure,200,0.11,2/15/2023,Post-IPO,"United States",491
DocuSign,"SF Bay Area",Sales,680,0.1,2/16/2023,Post-IPO,"United States",536
DocuSign,"SF Bay Area",Sales,680,0.1,2/16/2023,Post-IPO,"United States",536
Doma,"SF Bay Area",Finance,515,0.4,12/6/2022,Post-IPO,"United States",679
Doma,"SF Bay Area",Finance,515,0.4,12/6/2022,Post-IPO,"United States",679
DraftKings,Boston,Consumer,140,0.04,2/1/2023,Post-IPO,"United States",719
DraftKings,Boston,Consumer,140,0.04,2/1/2023,Post-IPO,"United States",719
Drift,Boston,Marketing,59,NULL,2/6/2023,Acquired,"United States",107
Drift,Boston,Marketing,59,NULL,2/6/2023,Acquired,"United States",107
DriveWealth,"Jersey City",Finance,NULL,0.2,1/26/2023,"Series D","United States",550
DriveWealth,"Jersey City",Finance,NULL,0.2,1/26/2023,"Series D","United States",550
Dunzo,Bengaluru,Food,NULL,0.03,1/16/2023,Unknown,India,382
Dunzo,Bengaluru,Food,NULL,0.03,1/16/2023,Unknown,India,382
"DUX Education",Bengaluru,Education,NULL,1,2/28/2023,Unknown,India,NULL
"DUX Education",Bengaluru,Education,NULL,1,2/28/2023,Unknown,India,NULL
"Earth Rides",Nashville,Transportation,NULL,1,1/19/2023,Unknown,"United States",2
"Earth Rides",Nashville,Transportation,NULL,1,1/19/2023,Unknown,"United States",2
"Eat Just","SF Bay Area",Food,40,NULL,2/24/2023,Unknown,"United States",465
"Eat Just","SF Bay Area",Food,40,NULL,2/24/2023,Unknown,"United States",465
eBay,"SF Bay Area",Retail,500,0.04,2/7/2023,Post-IPO,"United States",1200
eBay,"SF Bay Area",Retail,500,0.04,2/7/2023,Post-IPO,"United States",1200
Edgio,Phoenix,Infrastructure,95,0.1,12/13/2022,Post-IPO,"United States",462
Edgio,Phoenix,Infrastructure,95,0.1,12/13/2022,Post-IPO,"United States",462
Edifecs,Seattle,Healthcare,30,NULL,1/20/2023,Unknown,"United States",1
Edifecs,Seattle,Healthcare,30,NULL,1/20/2023,Unknown,"United States",1
"Editas Medicine",Boston,Healthcare,NULL,0.2,1/9/2023,Post-IPO,"United States",656
"Editas Medicine",Boston,Healthcare,NULL,0.2,1/9/2023,Post-IPO,"United States",656
Electric,"New York City",Other,141,0.25,2/13/2023,"Series D","United States",212
Electric,"New York City",Other,141,0.25,2/13/2023,"Series D","United States",212
"Electronic Arts","Baton Rouge",Consumer,200,NULL,2/28/2023,Post-IPO,"United States",2
"Electronic Arts","Baton Rouge",Consumer,200,NULL,2/28/2023,Post-IPO,"United States",2
Element,London,Other,NULL,0.15,12/25/2022,"Series B","United Kingdom",96
Element,London,Other,NULL,0.15,12/25/2022,"Series B","United Kingdom",96
Embark,Boston,Healthcare,41,NULL,1/11/2023,"Series B","United States",94
Embark,Boston,Healthcare,41,NULL,1/11/2023,"Series B","United States",94
"Embark Trucks","SF Bay Area",Transportation,230,0.7,3/3/2023,Post-IPO,"United States",317
"Embark Trucks","SF Bay Area",Transportation,230,0.7,3/3/2023,Post-IPO,"United States",317
"EMX Digital","New York City",Marketing,100,1,2/13/2023,Unknown,"United States",NULL
"EMX Digital","New York City",Marketing,100,1,2/13/2023,Unknown,"United States",NULL
Enjoei,"Sao Paulo",Retail,31,0.1,1/20/2023,Unknown,Brazil,14
Enjoei,"Sao Paulo",Retail,31,0.1,1/20/2023,Unknown,Brazil,14
Equitybee,"SF Bay Area",Finance,24,0.25,2/8/2023,"Series B","United States",85
Equitybee,"SF Bay Area",Finance,24,0.25,2/8/2023,"Series B","United States",85
Ericsson,Stockholm,Other,8500,0.08,2/24/2023,Post-IPO,Sweden,663
Ericsson,Stockholm,Other,8500,0.08,2/24/2023,Post-IPO,Sweden,663
Ermetic,"SF Bay Area",Security,30,0.17,1/23/2023,"Series B","United States",97
Ermetic,"SF Bay Area",Security,30,0.17,1/23/2023,"Series B","United States",97
Esper,Seattle,Other,NULL,0.21,1/10/2023,"Series A","United States",10
Esper,Seattle,Other,NULL,0.21,1/10/2023,"Series A","United States",10
"Ethos Life","SF Bay Area",Finance,50,NULL,2/21/2023,"Series D","United States",406
"Ethos Life","SF Bay Area",Finance,50,NULL,2/21/2023,"Series D","United States",406
Eventbrite,"SF Bay Area",Consumer,80,0.08,2/28/2023,Post-IPO,"United States",557
Eventbrite,"SF Bay Area",Consumer,80,0.08,2/28/2023,Post-IPO,"United States",557
Everlane,"SF Bay Area",Retail,30,0.17,1/5/2023,Unknown,"United States",176
Everlane,"SF Bay Area",Retail,30,0.17,1/5/2023,Unknown,"United States",176
Evernote,"SF Bay Area",Consumer,129,NULL,2/17/2023,Acquired,"United States",290
Evernote,"SF Bay Area",Consumer,129,NULL,2/17/2023,Acquired,"United States",290
EVgo,"Los Angeles",Transportation,40,NULL,2/23/2023,Post-IPO,"United States",400
EVgo,"Los Angeles",Transportation,40,NULL,2/23/2023,Post-IPO,"United States",400
Exotel,Bengaluru,Support,142,0.15,1/17/2023,"Series D",India,87
Exotel,Bengaluru,Support,142,0.15,1/17/2023,"Series D",India,87
Exterro,Portland,Legal,24,0.03,2/1/2023,"Private Equity","United States",100
Exterro,Portland,Legal,24,0.03,2/1/2023,"Private Equity","United States",100
FarEye,"New Delhi",Logistics,90,NULL,2/3/2023,"Series E",India,150
FarEye,"New Delhi",Logistics,90,NULL,2/3/2023,"Series E",India,150
"Fate Therapeutics","San Diego",Healthcare,315,0.57,1/9/2023,Post-IPO,"United States",1200
"Fate Therapeutics","San Diego",Healthcare,315,0.57,1/9/2023,Post-IPO,"United States",1200
Finder,Sydney,Retail,NULL,0.15,2/3/2023,Unknown,Australia,30
Finder,Sydney,Retail,NULL,0.15,2/3/2023,Unknown,Australia,30
Fipola,Chennai,Food,NULL,1,2/20/2023,"Series A","United States",9
Fipola,Chennai,Food,NULL,1,2/20/2023,"Series A","United States",9
Fireblocks,"New York City",Crypto,30,0.05,2/20/2023,"Series E","United States",1000
Fireblocks,"New York City",Crypto,30,0.05,2/20/2023,"Series E","United States",1000
Fittr,Pune,Fitness,30,0.11,3/2/2023,"Series A",India,13
Fittr,Pune,Fitness,30,0.11,3/2/2023,"Series A",India,13
Flexport,"SF Bay Area",Logistics,640,0.2,1/11/2023,"Series E","United States",2400
Flexport,"SF Bay Area",Logistics,640,0.2,1/11/2023,"Series E","United States",2400
ForeScout,"SF Bay Area",Security,100,0.1,1/10/2023,Post-IPO,"United States",125
ForeScout,"SF Bay Area",Security,100,0.1,1/10/2023,Post-IPO,"United States",125
"Frequency Therapeutics",Boston,Healthcare,NULL,0.5,2/1/2023,Post-IPO,"United States",76
"Frequency Therapeutics",Boston,Healthcare,NULL,0.5,2/1/2023,Post-IPO,"United States",76
Freshly,Phoenix,Food,329,NULL,12/12/2022,Acquired,"United States",107
Freshly,Phoenix,Food,329,NULL,12/12/2022,Acquired,"United States",107
Freshworks,"SF Bay Area",Support,90,0.02,12/15/2022,Post-IPO,"United States",484
Freshworks,"SF Bay Area",Support,90,0.02,12/15/2022,Post-IPO,"United States",484
Gemini,"New York City",Crypto,NULL,0.1,1/23/2023,Unknown,"United States",423
Gemini,"New York City",Crypto,NULL,0.1,1/23/2023,Unknown,"United States",423
Genesis,"New York City",Crypto,60,0.3,1/5/2023,"Series A","United States",NULL
Genesis,"New York City",Crypto,60,0.3,1/5/2023,"Series A","United States",NULL
Getaround,"SF Bay Area",Transportation,NULL,0.1,2/2/2023,Post-IPO,"United States",948
Getaround,"SF Bay Area",Transportation,NULL,0.1,2/2/2023,Post-IPO,"United States",948
Getir,"New York City",Food,100,NULL,2/2/2023,"Series E","United States",1800
Getir,"New York City",Food,100,NULL,2/2/2023,"Series E","United States",1800
